"name","desc","id","category","sub_category","tags","logo","detail.welcome","detail.prop","detail.gptlink"
"Canva","Effortlessly design anything: presentations, logos, social media posts and more.","MDAwZDJhMDczNzEzMWI1ODJh",,,,"https://files.oaiusercontent.com/file-6qPLxHx8u9lf2XszRtWG25RD?se=2123-10-14T00%3A38%3A41Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dlogo.png&sig=LV3ZLlRkK4S61JLukf%2B10WLwU4%2B7%2B6NNkTLm2gsbw%2BU%3D","Hello! Excited to bring your visions to life? Start your creative journey with Canva. What will we design together today?","How about an inspirational quote graphic for social media?,I need a poster for our online store’s seasonal sale,Make an Instagram post about a breathtaking sunset,Highlight my favorite hiking trail in a Facebook post,Announce a pottery class discount in a social media story,Put together a smart-looking A4 business proposal","https://chat.openai.com/g/g-alKfVrz9K"
"The Secret of Monkey Island: Amsterdam","A text-based adventure game inspired by Monkey Island taking place in a fictional version of 🇳🇱 Amsterdam during the age of piracy. The player assumes the role of Guybrush Threepwood, a young man who dreams of becoming a pirate, and explores fictional places while solving puzzles","MDMzYjBlMjU1MTEwMzYzNTU5",,,,"https://files.oaiusercontent.com/file-ifmM6v6jbdL9NVQQjJu94jKR?se=2123-10-23T14%3A24%3A56Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3DDALL%25C2%25B7E%25202023-11-16%252013.33.08%2520-%2520Close-up%2520portrait%2520in%2520pixel%2520art%2520style%2520of%2520a%2520grizzled%2520captain%252C%2520inspired%2520by%2520%2527The%2520Secret%2520of%2520Monkey%2520Island%2527%2520game%252C%2520set%2520in%2520a%2520tavern%2520in%2520Amsterdam.%2520The%2520captain%2520.png&sig=UrUKp4CBnLBCS4A0808aU3TG1v6zY2DIyJj/scrM5E0%3D","","Start the adventure,I found the treasure already; continue from there (open world mode)","https://chat.openai.com/g/g-bZoD0qWT8"
"API Docs","OpenAI API, Documentation and CookBook","Mjg1MDM5MmYwMzEyMTgyNTJh",,,,"https://files.oaiusercontent.com/file-hWsLaYpYnZ2TWUuoq4II1Lol?se=2123-10-14T15%3A09%3A26Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dac2881e8-7f33-4a7d-994d-e0e44725f68a.png&sig=4yXvsGNs7ZXNoKnINM1tLN4ku8f1hmV0jXvaZ1gyEKg%3D","How can I assist you with OpenAI's tools today?","How to use OpenAI API?,What does 'top_p' mean in the API?,How do I use the function call?,How to do fine-tuning","https://chat.openai.com/g/g-I1XNbsyDK"
"Akinator","Think about a real or fictional character. I will try to guess who it is.","MzU1MTA2MDU1MjJiMzQwMjU2",,,,"https://files.oaiusercontent.com/file-EiH8MRMrkbRiXAFjbiAC4273?se=2123-10-16T19%3A36%3A57Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dc905cf07-8626-412c-bf23-bd53be8c793f.png&sig=dQQxd1JqwmycHogm8VBGay4jXDAaSU0dITfEKfCqL44%3D","Hello, I am Akinator. Think about a real or fictional character. I will try to guess who it is.","Is your character real?,Does your character have superpowers?,Is your character from a TV show?,Can your character be found in books?","https://chat.openai.com/g/g-T0gd3JUc7"
"老爸，该怎么办？","一个能给孩子提供全方位指导的爸爸，小到生活琐事，大到工作婚姻。","NTExNTU5MDI1ODBmMjQzOTMz",,,,"https://files.oaiusercontent.com/file-PLcGWhqExtphFEN1BrPMX0Gn?se=2123-10-20T04%3A51%3A55Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D8629eeaa-25f2-469b-975d-bfc4a143eb73.png&sig=4acWqAgdmGJg0Qihe8EWvHdcfIf42W9UX0fAJTujYkY%3D","Hello","老爸，学校有人欺负我该怎么办？,老爸，喜欢女孩子不知道该怎么表白该怎么办？,老爸，这次考试没考好该怎么办？,老爸，我工作压力好大该怎么办？","https://chat.openai.com/g/g-0t8c9nEXR"
"Data Analysis","Drop in any files and I can help analyze and visualize your data","MjkyYzJmMDIzMTU3MTY1NjA1",,,,"https://files.oaiusercontent.com/file-id374Jq85g2WfDgpuOdAMTEk?se=2123-10-13T00%3A31%3A06Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dagent_2.png&sig=qFnFnFDVevdJL3xvtDE8vysDpTQmkSlF1zhYLAMiqmM%3D","Hello","","https://chat.openai.com/g/g-HMNcP6w7d"
"武林秘传：江湖探险 Secrets of Martial Arts","踏上神奇江湖之旅，寻找传说中的武林典籍《道心种魔大法》Embark on a magical journey through the Jianghu to find the legendary martial arts book.","NTAxMDIzMDMzNzE3Mjc1MTM1",,,,"https://files.oaiusercontent.com/file-fkecOUpDRt9EQbSTKL84lsMo?se=2123-10-23T22%3A11%3A33Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D028f349b-791d-4eef-9a67-e85e829afebd.png&sig=yNSoVPXGCCExd77yXzpixUmQf3dBCAkSZr0NorC8wyY%3D","Embark on a martial arts quest in ancient China!","开始游戏,Begin The Game","https://chat.openai.com/g/g-1qBbVvF0T"
"Game Time","I can quickly explain board games  or card games to players of any age. Let the games begin!","MzIxNDA2NTcwYzM5MGUxYjM1",,,,"https://files.oaiusercontent.com/file-JxYoHzuJQ2TXHBYy6UGC4Xs8?se=2123-10-13T00%3A46%3A49Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dc0bba883-a507-42dd-acfd-211509efd97c.png&sig=jZeFDXgC4ZbNC8mVNuQK7zeKS7ssRCh5QTlqa81WJEM%3D","Hello","How do you set-up the board to begin?,Can you explain how to play this game? (image),We are arguing about a rule, who’s right?,Are there any common variations?","https://chat.openai.com/g/g-Sug6mXozT"
"Code Helper","Front-end expert GPT, fluent in Chinese.","NTUzNTU4MjYxMzE5M2IzYjJi",,,,"https://files.oaiusercontent.com/file-iX9w4BPGSCdiFl05zlrDypR6?se=2123-10-20T06%3A51%3A37Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Daacc12b3-183d-4ed5-bf79-86cee4e16d75.png&sig=Nxj//j3qyLrhL7hi73EWqtDJKgTXSbKTkuD7YBmeEfg%3D","你好，我是 Code Helper，前端开发专家。请问有什么可以帮忙的？","最新的 React 优化技巧是什么？,如何在 Vue.js 中使用 Vuex？,解决 JavaScript 的性能问题有什么方法？,如何在 Angular 项目中使用服务器端渲染？","https://chat.openai.com/g/g-4T9GrxZZJ"
"ConspiracyGPT","Agent Mulder, skeptic-questioning conspiracy expert.","MGIxNjBlMmQyYzIwMTg1NTU2",,,,"https://files.oaiusercontent.com/file-YuUfcK8KLOO5I6ggUDgqb4WE?se=2123-10-29T18%3A51%3A44Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D438f43dc-8533-463f-bd5e-ac8a34a0535e.png&sig=A4ZLzzhxB1bP26Q5khrLlQD8IMoIo%2BNh0bvwVRvBFmQ%3D","Welcome to The X-Files. Ready to challenge the skeptics?","Flat Earth?,Truman...are we living in a simulation?,MK-ULTRA,#Cicada3301,Explain the 'men in black' phenomenon.,Investigate the Montauk Project claims.,What's hidden in the FBI's X-Files?,Delve into the mystery of the Dyatlov Pass incident.","https://chat.openai.com/g/g-jwoLMAy47"
"HTMX helper","helps with htmx code by referring to the documentation","MmQxMjUzMDkyZTM3MmIzMTE2",,,,"https://files.oaiusercontent.com/file-saOLQGHKm9hhfEnm2BUFoMAs?se=2123-10-31T05%3A41%3A02Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3DcommunityIcon_3wi5tbhd61181.png&sig=fujsFyULf86zsLm3xYszubBhU4Skj8HEcTYJhiwbM78%3D","","Can you explain how to use the hx-get attribute in htmx?,What are the different ways to install htmx in a project?,How do I use htmx to handle form submissions with AJAX?,What's the best practice for using htmx with CSS transitions?","https://chat.openai.com/g/g-Ls2hOVJPw"
"ファラ恋","全員王様のマッチングアプリ","MzQxMzU3MTUxMDM0MzEwYTM1",,,,"https://files.oaiusercontent.com/file-ape6BTg6OKONRHvxSSSTOtgA?se=2123-10-30T17%3A10%3A40Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3De48dc975-4ebb-4997-9ddc-008a586f0c1c.png&sig=a7ytcoaHMjFREX8YLpUtG0V7Ygrb/MT9r93TZYPQz3g%3D","ようこそ、全員王様のマッチングアプリへ。","アナタが男性に求める3つの条件を書いてください。","https://chat.openai.com/g/g-Ur6tqUPkT"
"Custom Business Sim Game based on Art of War","Play the complex business simulation game you want to play, learn and use strategies derived from Sun Tzu's Art of War","MjYwNjJlMjQzODIyMGQwMjA3",,,,"https://files.oaiusercontent.com/file-wlw9IOW0CMxf7p2palenVxXf?se=2123-10-31T05%3A32%3A40Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D6bdbde87-8d5d-463b-85c9-342ea1e58fb5.png&sig=vop1Q894cEZ5usep0fAAVKFhQUVkiyZy/T0dr8VRoWs%3D","","Let's play - Renewable Energy CEO,Let's play - Spaceship Company Founder,Let's play - Financial Masterminds,Let's play - whatever you decide","https://chat.openai.com/g/g-GgOEYClcf"
"BendSQL Formatter","Petty  formatter for Snowflake/Databend.","MzQyNTMxM2IzNjBmMWIzOTBi",,,,"https://files.oaiusercontent.com/file-Xci2BtDYe9kZo2bsfO1dlcyJ?se=2123-10-26T01%3A34%3A57Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D6fdbadbb-3235-4e83-b9b5-384d2c2b6bd0.png&sig=GsdiTuvlodl9vSNF/c62sE/kpqmW0rhp6c9eQQnevQU%3D","Ready to format your SQL for Snowflake. Just send your query!","Format this SQL into Snowflake style:,Can you improve the readability of this SQL?,Here's my SQL, please format it:,Need Snowflake style formatting for this SQL:","https://chat.openai.com/g/g-UDPZWnzXj"
"Ask The Kama Sutra","Ask a question and let Vatsyayana give you advice!","MzczMjM4MTUwYTU0NTU1OTI5",,,,,"","","https://chat.openai.com/g/g-VSYtk548H"
"Value Investor","A financial advisor specializing in value investing and Buffett-style strategies.","MzA1NjIzNTkyOTM2MTAzYjAz",,,,"https://files.oaiusercontent.com/file-ZtXeDqLI3baWYTZ9LXOUIQp4?se=2123-10-19T18%3A24%3A46Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D11edc42b-aeb7-448a-bace-c0605af1d7c3.png&sig=SDmcJIi/Bici0INSvgSHVeYZmlpoib%2BQFgWMTz4vrGM%3D","Welcome! Ready to explore the world of value investing?","How does value investing work?,What would Buffett say about investing in tech stocks?,Can you explain market capitalization?,How to assess a company's intrinsic value?","https://chat.openai.com/g/g-Q7B8HWqZb"
"Parenting Prose","育儿专家，采用具体故事的模板创作","MDY1MTM0NTMyNjU3MDUxMTA4",,,,"https://files.oaiusercontent.com/file-m5z3t9BO7BJ98iaLrLimt7U9?se=2123-10-22T03%3A56%3A38Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D07b888c8-51c5-459e-958e-115eb023a340.png&sig=QFslMROVoGqN28X%2BgnU%2BZR0SbRRIQjnj4Pps2usvqbM%3D","你好！一起探索育儿方面的建议和指导。","育儿问题是什么？,我需要关于妈妈角色的建议。,妈妈如何发挥孩子？,我需要对妈妈角色的专业观点。","https://chat.openai.com/g/g-g0U2G6dpi"
"Crypto Advisor","Advises on cryptocurrencies and blockchain","MmExYjI3MmMxODM4MjU1MTBh",,,,"https://files.oaiusercontent.com/file-3oDNNNma1a2DEgNUu3FeDgfl?se=2123-10-21T16%3A12%3A44Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D92432855-dff2-4061-b52a-8d80ccad20da.png&sig=L26CgW5a6gMO5i5%2B1hxCdTgi2mCiVcpcoDyhKnrhKms%3D","Hello, I'm your Crypto Advisor. How can I assist you today with cryptocurrencies and blockchain?","¿Cómo configuro una wallet en Metamask para una red específica?,Explícame cómo funcionan los smart contracts en Ethereum.,¿Puedes mostrarme cómo realizar un seguimiento de transacciones en la blockchain?,¿Cuál es la diferencia entre una mainnet y una testnet en blockchain?","https://chat.openai.com/g/g-KzFMyYD0k"
"Gift Buddy","Casual, humorous, and friendly gift advisor.","MmEzOTE5M2IzMjU0NTEwNzJl",,,,"https://files.oaiusercontent.com/file-jb6lVNmVsp6KyGyw9kKV40OP?se=2123-10-19T10%3A50%3A59Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D08e4470f-3f80-4084-8483-5c3f533d555a.png&sig=eCDDA2lHD2r98bvqBNnrgDj1YB%2B9SdMHSGcu6OX4NTM%3D","Hey there! Ready to find some awesome gifts with a dash of humor?","Need a quirky gift for a friend who loves cats?,What's a fun birthday present for a tech geek?,Looking for a humorous yet thoughtful wedding gift.,Any funny gift ideas for a colleague's farewell?","https://chat.openai.com/g/g-KXxZS50fO"
"Cover Letter Crafter","Helping job seekers with impactful Cover Letters","MmUxMTU4MzQ1MDNiNTgxNDBk",,,,"https://files.oaiusercontent.com/file-bfTCwuqE3wO4TEy3oDkGiqY1?se=2123-10-20T19%3A54%3A11Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D2b4d18ce-ec90-46b1-bc0e-0299053be11d.png&sig=gSfx55dFBbDnsbEiWXRB3So1MgiUV4liqJDCfJ8sUlQ%3D","Welcome to Cover Letter Crafter! Feel free to upload a draft of your cover letter if you have one.","How can I make my cover letter stand out?,What's the best way to start a cover letter?,Can you help me tailor my cover letter for a tech job?,I'm struggling with my closing paragraph. Any tips?","https://chat.openai.com/g/g-Op9U1Z9ul"
"SEO Doctor","SEO evaluation tool offering detailed reports and approachable advice.","NTkzODBiMGExNTMwMGUyNjM1",,,,"https://files.oaiusercontent.com/file-uNzjRCjF4WbIislOBkdfJ2gR?se=2123-10-19T12%3A00%3A48Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D5221327d-044d-4a31-abc2-70a24046adfd.png&sig=l1BotqiiT54Gr3awZPKeXgahmK3YTkcQ/76Pyy60tp4%3D","Hello! Let's boost your webpage's SEO. Just drop a URL here.","Evaluate the SEO of this webpage.,What SEO improvements can I make?,How does mobile optimization impact SEO?,Describe the importance of meta tags in SEO.","https://chat.openai.com/g/g-8YjktQoGT"
"你是厨神 (You Are The God Of Cookery)","A culinary expert redefining cooking for everyone, enhancing efficiency and joy.","MTkzMjJmMDk1MDBiMDMxNzIy",,,,"https://files.oaiusercontent.com/file-yJUknNBToup67JN6reAbJu8S?se=2123-10-18T05%3A19%3A37Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D89abe72f-13fb-4b96-873b-006ea653d2e3.png&sig=71vLchDDjOxn6T8Bt0Sn1%2BpvUUhaJiB8/3iLl/Nm1fM%3D","Ready to cook up something delicious and efficient?","How can I make a quick healthy meal?,What's a simple recipe for chicken?,How can I improve my baking skills?,Can you suggest a vegetarian dish with eggplant?","https://chat.openai.com/g/g-xSNh1jbvC"
"UK Law","Guides in understanding UK law","MTgzNjA1MDkyMDA5MjMwOTE4",,,,"https://files.oaiusercontent.com/file-upWR98QazjwvX8RXd6bKTpCi?se=2123-10-19T07%3A35%3A10Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dcbe61e5f-591e-43f0-b256-bb5993d9c833.png&sig=/LW/gYfHra%2BNSSFsY9bXPJ7/nt4Drj3/S7lZl%2BqLdxg%3D","Welcome to UK Law Explorer! How can I assist with UK law today?","Explain this UK law for me,What does this UK legal term mean?,How does this UK legal process work?,Can you summarize this UK legal document?","https://chat.openai.com/g/g-yWdhAhBhy"
"⭐외국어 선생님 디토⭐","자칭 10개 국어인 달인인 외국어 선생님 디토...⭐ 유튜브 자막이나 외국어 대화문을 제시하면 어떤 표현이든 친절하게 추출해서 알려드려요! A1~C2까지 다양한 원어민 표현들과 단어들을 학습 하실 수 있어요!","MTUyYTM4MmYxNDM2NTE1NzNi",,,,"https://files.oaiusercontent.com/file-aI93cPUnVDDe5UNHSh7QdDQI?se=2123-10-19T13%3A49%3A18Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D4c39294d-30af-439f-b431-8b44c246da60.png&sig=n5fp5VfvbMU4M5bnVIxnPlJuFFRZVNYKNJJE7sknk6k%3D","Hello","이 meme에  나오는 표현이 이해가안가요,이 단어를 설명해주시고 대화문과 상황을 그림으로 표현해주세요,she really did a number on me. 라고 하는데 무슨 뜻이에요?,노래 가사의 C1 수준의 표현들만 정리해주세요!","https://chat.openai.com/g/g-tKYNuW06Z"
"GMAT Advisor","A GMAT mentor guiding users towards a score above 700. Model trained with private information from world leading tutors.","MTcxNjAwM2IwOTU3MGYyNTI2",,,,"https://files.oaiusercontent.com/file-RutkRLuAlUXdmllBKCjRuOqH?se=2123-10-17T11%3A39%3A57Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D8c550c10-f653-4caf-bea2-431291a690db.png&sig=%2B9kV5i8vCqv4MSbpWhlSrnfZPH594K7tpM6UZT9lVWA%3D","Welcome to your GMAT mentor! How can I assist you today?","What's a good GMAT study plan?,How can I improve my quant score?,Explain critical reasoning in GMAT.,What are some common GMAT pitfalls?","https://chat.openai.com/g/g-vwaZh6nDG"
"情感小说生成器","First-person emotional novelist, creating deep family narratives.","MjYxYjUzMDg1MzM0MDczOTBk",,,,"https://files.oaiusercontent.com/file-AARlhkQRtbUpEmBSoUgAiisL?se=2123-10-22T13%3A07%3A03Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D562efdc1-9407-4e34-8647-642b319c618d.png&sig=gYE8hP4TzNiLtP0WFcMNYKFVAj/HmT3xcjh5iA2L8tg%3D","Welcome! Let's craft a captivating story from your outline, in the depth of first-person narrative.","Develop a story from a given outline about loss and recovery.,Write a narrative based on a user's summary of family conflict.,Create an emotionally charged tale from a provided character sketch.,Construct a story from a user's idea about an unexpected friendship.","https://chat.openai.com/g/g-Gz2i2UfXl"
"Little Newsboy","Your friendly assistant for diverse web info on tech and entrepreneurship.","MWI1OTMxMzI1NDNiMjg1NDA1",,,,"https://files.oaiusercontent.com/file-6NQoxKgRTG8uIsieIJewYnWL?se=2123-10-23T03%3A23%3A00Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Db1fdb5f1-ebda-485a-8321-558f6bdf4c94.png&sig=i2l8V0wD0XrJh7bHo%2BYon8OzB09/sQ6s7wNIAyFzZlU%3D","Hello! Little Newsboy here, ready to fetch diverse tech info for you.","[In English] What useful information is available today from the initialized websites?,[In Chinese] What useful information is available today from the initialized websites?,Can you provide the latest trends in Golang from GitHub?,What are the top personal productivity tips discussed this week on twitter?","https://chat.openai.com/g/g-z8PS5ZI5d"
"Montessori Buddy","Guiding in Montessori education methods","MDMzODJiMzUwMDM5MjMyMjBh",,,,"https://files.oaiusercontent.com/file-OpuCLl3HtyuYvXzxLQvpNdL8?se=2123-10-21T11%3A46%3A12Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Db72f86f5-ee6e-422a-815f-e8daedd10290.png&sig=ofun%2B8ueGUL2l8wSjbHBS%2B8uAI7WVrCrJf7JLLMDeNI%3D","Welcome! How can I assist you with Montessori education today?","How can I apply Montessori methods at home?,What are key Montessori principles?,Suggest a Montessori activity for 5-year-olds.,Explain a Montessori classroom layout.","https://chat.openai.com/g/g-bYJTaXBCk"
"中药教育家","为中职学生设计中药学课程教案。","NTMyOTMyNTcyNDM0NTAyNzJk",,,,"https://files.oaiusercontent.com/file-JPPXWPLftx0SaNgZimFna3Y3?se=2123-10-20T13%3A33%3A21Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3De969b7d4-6714-451d-817b-1edba64f4071.png&sig=JU2Yy8F8kcd8lv1ql44nRDLdwFfceqykb3P4l3t4zHI%3D","你好！准备好为中药学课程创建吸引人的教案了吗？","为中药学入门课程设计一份教案。,如何让我的课程对中职学生更有吸引力？,这种草药在传统医学中有哪些实际应用？,提供人参的药用属性总结。","https://chat.openai.com/g/g-2HS6EU1FL"
